date,ticker,mentions,close,ret1d
2025-09-19,FDX,1,231.75,2.32
2025-09-19,SOUL,1,10.079999923706055,0.1
2025-09-19,COIN,1,342.4599914550781,-0.2
2025-09-19,BRO,1,91.7300033569336,-0.15
2025-09-19,MOD,1,154.9499969482422,-2.28
2025-09-19,LINK,1,10.270000457763672,-0.68
2025-09-19,CCJ,1,86.18000030517578,4.32
2025-09-19,GAP,90,22.260000228881836,-3.3
2025-09-19,AEO,40,18.8700008392334,-4.31
2025-09-19,WAY,2,37.79999923706055,-2.02
2025-09-19,NOTE,2,4.389999866485596,-3.09
2025-09-19,GME,1,26.079999923706055,0.77
2025-09-19,CRSP,1,62.31999969482422,-0.99
2025-09-19,NYC,1,9.470000267028809,-6.61
2025-09-19,MASS,1,7.300000190734863,7.04
2025-09-19,API,1,3.8499999046325684,-1.03
2025-09-19,AMC,1,3.009999990463257,5.99
2025-09-19,MSCI,1,559.75,0.68
2025-09-19,AVGO,1,344.94000244140625,-0.12
2025-09-19,ASML,5,932.1500244140625,0.47
2025-09-19,HODL,1,32.560001373291016,-1.99
2025-09-19,PLUG,1,2.180000066757202,3.81
2025-09-19,UPWK,1,20.06999969482422,2.4
2025-09-19,VTOL,4,37.09000015258789,-3.34
2025-09-19,TWO,1,9.899999618530273,-0.3
2025-09-19,EVTL,2,5.730000019073486,10.4
2025-09-19,HOVR,1,2.2300000190734863,9.85
2025-09-19,MSTR,1,344.75,-1.25
2025-09-19,APLD,1,20.479999542236328,2.86
2025-09-19,RBLX,1,135.17999267578125,-0.27
2025-09-19,UPS,1,84.05999755859375,-1.16
2025-09-19,UBS,1,42.290000915527344,1.83
2025-09-19,PACS,28,11.970000267028809,-0.25
2025-09-19,ENSG,7,164.2899932861328,-1.66
2025-09-19,CMS,2,70.12000274658203,-0.09
2025-09-19,COO,1,68.16999816894531,1.41
